"","Subcounty","Ward","Name of SACCO","Type","Reg.status","Reg.number","Number of wards covered","Name of wards covered","Background","Membership","Governance","PlanningCapacity","HumanResource","FinancialPerformance","Automation","TotalScore","Grade"
"1","RUIRU","BIASHARA","Christ Ambassadors Sacco Society Limited","Faith Based SACCO","Registered","CS/11524",1,"BIASHARA",61.1,73.3,60.6,33.3,66.7,66.7,60,61.3,"B"
"2","RUIRU","BIASHARA","P.C.E.A RUIRU SACCO","Other","Registered","CS/10410",20,"BIASHARA GATONG'ORA GITARU GITHUNGURI GITOTHUA GITUAMBA HOSPITAL JUJA KAHAWA SUKARI KAHAWA WENDANI KALIMONI KAMENU KARAI KARURI KIAMWANGI KIGANJO LARI/KIRENGA LIMURU CENTRAL LIMURU EAST MANG'U",66.7,60,72.7,66.7,50,50,66.7,61.2,"B"
"3","RUIRU","BIASHARA","Maisha mabati sacco","Employer Based SACCO","Registered","CS-13693",6,"BIASHARA CHANIA KAHAWA SUKARI KALIMONI Kiambu TOWNSHIP WITEITHIE",55.6,46.7,63.6,33.3,83.3,77.8,46.7,61.1,"B"
"4","RUIRU","BIASHARA","Biashara community savings credit","Community Based SACCO","Registered","Cs/12574",3,"BIASHARA JUJA GATONG'ORA",44.4,66.7,54.5,33.3,83.3,44.4,73.3,57.5,"B"
"5","RUIRU","BIASHARA","Butterfly Saaco","Employer Based SACCO","Registered","OS/6687",1,"BIASHARA",66.7,33.3,63.6,44.4,83.3,61.1,33.3,56.4,"B"
"6","RUIRU","BIASHARA","Coffex Sacco Society Limited","Agri Based SACCO","Registered","CS/13265",6,"BIASHARA GITHUNGURI GITOTHUA GITUAMBA IKINU GITARU",50,46.7,81.8,44.4,0,83.3,46.7,55,"B"
"7","RUIRU","BIASHARA","Thinaruma Sacco Ltd","Community Based SACCO","Registered","CS/4732",3,"BIASHARA Thika TOWNSHIP MURERA",66.7,46.7,69.7,44.4,33.3,72.2,33.3,54.5,"B"
"8","RUIRU","BIASHARA","Kiyo Sacco","Employer Based SACCO","Registered","CS/6682",1,"BIASHARA",66.7,33.3,60.6,33.3,50,55.6,53.3,50.2,"B"
"9","RUIRU","BIASHARA","RUNA TRAVELLERS SACCO","Transport SACCO","Registered","CS/13094",7,"BIASHARA KIAMWANGI Kiambu TOWNSHIP JUJA GITUAMBA GITOTHUA GITHUNGURI",55.6,33.3,78.8,11.1,33.3,44.4,86.7,49.8,"C"
"10","RUIRU","BIASHARA","Mtrr Sacco","Transport SACCO","Registered","CS/15645",1,"BIASHARA",55.6,33.3,63.6,33.3,33.3,66.7,40,48.7,"C"
"11","RUIRU","BIASHARA","Rukine travellers sacco","Transport SACCO","Registered","Cs/13338",1,"BIASHARA",55.6,33.3,54.5,44.4,33.3,44.4,80,47.5,"C"
"12","RUIRU","BIASHARA","Kinotes cooperative and saving society ltd","Community Based SACCO","Registered","CS/4025",7,"KIJABE KIKUYU LARI/KIRENGA KOMOTHAI LIMURU CENTRAL LIMURU EAST THETA",66.7,46.7,59.1,22.2,50,44.4,40,47,"C"
"13","RUIRU","BIASHARA","WUPKENYA SACCO","Employer Based SACCO","Registered","CS/28020",1,"BIASHARA",66.7,46.7,81.8,11.1,50,16.7,46.7,46,"C"
"14","RUIRU","BIASHARA","Rujwasco sacco","Employer Based SACCO","Registered","CS/25644",1,"BIASHARA",66.7,40,53,55.6,33.3,38.9,40,45,"C"
"15","RUIRU","BIASHARA","Ruiru sub-County Sme sacco ltd","Community Based SACCO","Registered","Cs/16470",1,"BIASHARA",88.9,40,33.3,33.3,33.3,77.8,13.3,44,"C"
"16","RUIRU","BIASHARA","Sharma Sacco","Transport SACCO","Registered","CS/23257",1,"BIASHARA",77.8,46.7,60.6,22.2,0,55.6,53.3,43.9,"C"
"17","RUIRU","BIASHARA","Chalbico sacco","Employer Based SACCO","Registered","Cs/27235",1,"BIASHARA",66.7,46.7,78.8,22.2,0,16.7,46.7,39.1,"C"
"18","RUIRU","BIASHARA","Deepwell sacco","Employer Based SACCO","Registered","Cs/23932",1,"BIASHARA",66.7,13.3,54.5,22.2,33.3,38.9,53.3,38.7,"C"
"19","RUIRU","BIASHARA","Ruidem savings and credit sacco","Community Based SACCO","Registered","Cs/20239",1,"BIASHARA",88.9,40,18.2,22.2,50,44.4,46.7,38.3,"C"
"20","RUIRU","BIASHARA","Jacaranda Sacco Society Limited","Community Based SACCO","Proposed",NA,1,"BIASHARA",44.4,13.3,48.5,22.2,33.3,33.3,73.3,37,"C"
"21","RUIRU","BIASHARA","Maisha Group Sacco Ltd","Employer Based SACCO","Registered","CS/29868",1,"BIASHARA",44.4,33.3,59.1,33.3,16.7,0,53.3,32.6,"C"
"22","RUIRU","BIASHARA","Ruiru Coffee Mills Sacco Society Limited","Employer Based SACCO","Registered","CS/2012",1,"BIASHARA",66.7,20,48.5,0,0,33.3,26.7,26.8,"C"
"23","RUIRU","BIASHARA","Courtesy Elders Sacco Society Limited","Community Based SACCO","Registered","CS/18068",1,"BIASHARA",55.6,13.3,51.5,0,0,50,0,26.6,"C"
"24","RUIRU","BIASHARA","AMALI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Community Based SACCO","Registered","CS/29911",1,"BIASHARA",44.4,46.7,39.4,22.2,16.7,0,6.7,24.1,"D"
"25","RUIRU","BIASHARA","Hub Sacco","Employer Based SACCO","Proposed",NA,1,"BIASHARA",44.4,46.7,10.6,11.1,16.7,0,0,15.5,"D"
"26","LIMURU","BIBIRIONI","Ndumberi Ward Sacco","Community Based SACCO","Registered","Cs/11797",3,"BIBIRIONI LIMURU CENTRAL LIMURU EAST",55.6,73.3,75.8,22.2,66.7,50,60,59.9,"B"
"27","LIMURU","BIBIRIONI","Githiga Ward Cohorts Sacco","Community Based SACCO","Registered","Cs/27155",1,"BIBIRIONI",44.4,53.3,39.4,22.2,50,0,73.3,36.8,"C"
"28","LIMURU","BIBIRIONI","CDDC Gituamba Sacco","Faith Based SACCO","Registered","Cs/29415",1,"BIBIRIONI",33.3,33.3,54.5,11.1,16.7,0,6.7,23.7,"D"
"29","GATUNDU NORTH","CHANIA","PCEA chania parish sacco","Community Based SACCO","Registered","CS/10630",1,"CHANIA",22.2,33.3,36.4,22.2,16.7,38.9,33.3,30.8,"C"
"30","GATUNDU NORTH","CHANIA","Chania Dawn Sacco","Community Based SACCO","Registered","CS/26637",2,"GITUAMBA MANG'U",50,53.3,39.4,22.2,0,22.2,40,30.7,"C"
"31","GATUNDU NORTH","CHANIA","Kamwangi Soko Sacco","Agri Based SACCO","Registered","CS/25777",1,"CHANIA",44.4,26.7,9.1,22.2,16.7,38.9,0,21.3,"D"
"32","KIAMBAA","CIANDA","Black petals saving and credit cooperative society limited.","Employer Based SACCO","Registered","CS/14158",2,"CIANDA KARURI",55.6,53.3,78.8,22.2,16.7,66.7,6.7,48.1,"C"
"33","KIAMBAA","CIANDA","Cianda H Sacco","Community Based SACCO","Registered","CS/19061",1,"CIANDA",77.8,40,36.4,11.1,16.7,66.7,13.3,36.8,"C"
"34","KIAMBAA","CIANDA","MAK BIASHARA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Other","Registered","CS/25981",2,"CIANDA Kiambu TOWNSHIP",55.6,46.7,45.5,33.3,0,16.7,53.3,32.9,"C"
"35","KIAMBAA","CIANDA","EVIMERO SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Employer Based SACCO","Registered","CS/27775",1,"CIANDA",55.6,46.7,45.5,22.2,0,0,33.3,26.2,"C"
"36","KIAMBAA","CIANDA","CIANDA WARD BODA TRANSPORT CO-OPERATIVE SOCIETY LIMITED","Transport SACCO","Registered","CS/26899",1,"CIANDA",33.3,33.3,18.2,0,16.7,16.7,0,16.7,"D"
"37","KIAMBAA","CIANDA","CIANDA QUEENS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Community Based SACCO","Registered","CS/25995",1,"CIANDA",55.6,33.3,15.2,11.1,0,5.6,0,13.7,"D"
"38","KIAMBAA","CIANDA","Gatatha Farmers investment Savings and Credit society limited","Community Based SACCO","Proposed",NA,1,"CIANDA",38.9,46.7,9.1,11.1,0,0,0,12.4,"D"
"39","RUIRU","GATONG'ORA","Benita Savings and Credit Cooperative Society Limited","Community Based SACCO","Registered","cs/24188",3,"GATONG'ORA Thika TOWNSHIP MWIKI",66.7,66.7,78.8,22.2,16.7,72.2,33.3,54.4,"B"
"40","RUIRU","GATONG'ORA","Bypass Community Sacco","Other","Registered","cs/25641",1,"GATONG'ORA",77.8,46.7,39.4,44.4,50,33.3,53.3,44.8,"C"
"41","RUIRU","GATONG'ORA","EGGL Sacco","Community Based SACCO","Registered","CS/22375",1,"GATONG'ORA",77.8,33.3,63.6,22.2,0,33.3,66.7,39.5,"C"
"42","RUIRU","GATONG'ORA","Skywave Management Services Savings and Credit Co-operative Society Limited","Community Based SACCO","Registered","cs/24153",1,"GATONG'ORA",66.7,40,62.1,22.2,0,50,6.7,37,"C"
"43","RUIRU","GATONG'ORA","Utatu Sacco Limited","Faith Based SACCO","Registered","cs/26702",1,"GATONG'ORA",55.6,40,62.1,22.2,0,27.8,40,35.3,"C"
"44","KABETE","GITARU","Ack Cura Parish Cooperative Savings and Credit Society Limited","Faith Based SACCO","Registered","CS/10409",1,"GITARU",55.6,26.7,21.2,44.4,33.3,0,20,24,"D"
"45","GITHUNGURI","GITHIGA","Githiga United Savings And Credit Co-Operative Society Ltd","Other","Proposed",NA,1,"GITHIGA",55.6,46.7,25.8,11.1,33.3,16.7,13.3,26.7,"C"
"46","GITHUNGURI","GITHIGA","WANAHEKIMA SAVING AND CREDIT COOPERATIVE SOCIETY LIMITED.","Agri Based SACCO","Registered","Cs/29323",1,"GITHIGA",55.6,13.3,27.3,11.1,33.3,0,13.3,18.7,"D"
"47","GITHUNGURI","GITHIGA","Githiga Jua Kali Sacco","Other","Registered","cs/8968",1,"GITHIGA",22.2,46.7,22.7,11.1,16.7,0,13.3,18.5,"D"
"48","GATUNDU NORTH","GITHOBOKONI","WITHARE STAFF SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED","Employer Based SACCO","Registered","Cs/24697",2,"GITHOBOKONI GITUAMBA",66.7,13.3,24.2,22.2,33.3,16.7,6.7,22.6,"D"
"49","GATUNDU NORTH","GITHOBOKONI","Chakaga Huduma Sacco","Community Based SACCO","Registered","Cs/22116",4,"CHANIA GITUAMBA GITHOBOKONI MANG'U",72.2,53.3,36.4,22.2,0,0,0,22.6,"D"
"50","GATUNDU NORTH","GITHOBOKONI","Githobokoni Kwihota SACCO","Agri Based SACCO","Registered","SC/28971",1,"GITHOBOKONI",33.3,80,15.2,0,0,0,20,19.2,"D"
"51","GITHUNGURI","GITHUNGURI","Tai Sacco","Community Based SACCO","Registered","CS/6447",44,"BIASHARA BIBIRIONI CHANIA CIANDA GATONG'ORA GATUANYAGA GITHIGA GITHOBOKONI GITHUNGURI GITOTHUA GITUAMBA HOSPITAL IKINU JUJA KAHAWA SUKARI KAHAWA WENDANI KALIMONI KAMBURU KAMENU Kiambu TOWNSHIP KIAMWANGI KIGANJO KINALE KIUU KOMOTHAI LARI/KIRENGA MANG'U MUCHATHA MURERA MUGUGA MWIHOKO MWIKI NDARUGU NDUMBERI NGECHA TIGONI NGENDA NGEWA NGOLIBA NYANDUMA RIABAI THETA Thika TOWNSHIP TING'ANG'A WITEITHIE",66.7,80,63.6,66.7,66.7,77.8,86.7,72.2,"B"
"52","GITHUNGURI","GITHUNGURI","Gdc","Agri Based SACCO","Registered","CS/10020",13,"GITHIGA GITHUNGURI IKINU KAMBURU Kiambu TOWNSHIP KOMOTHAI LARI/KIRENGA LIMURU CENTRAL NDUMBERI NGEWA RIABAI Thika TOWNSHIP TING'ANG'A",66.7,66.7,72.7,66.7,50,55.6,86.7,65.3,"B"
"53","GITHUNGURI","GITHUNGURI","Fariji Savings And Credit Co-Operative Society Limited ( Kagwe)","Community Based SACCO","Registered","CS/9231",18,"GITHUNGURI KAMBURU Kiambu TOWNSHIP KIGANJO KINALE KOMOTHAI LARI/KIRENGA NYANDUMA RIABAI GITHIGA GITOTHUA IKINU KIAMWANGI KIJABE NDUMBERI NGEWA TING'ANG'A THETA",77.8,73.3,60.6,44.4,50,61.1,80,61.9,"B"
"54","GITHUNGURI","GITHUNGURI","Githunguri Juakali Sacco Society Ltd","Community Based SACCO","Registered","CS/13880",4,"GITHUNGURI NGEWA GITHIGA KOMOTHAI",55.6,73.3,84.8,44.4,33.3,50,73.3,61,"B"
"55","RUIRU","GITOTHUA","Pollen Sacco Society Ltd","Employer Based SACCO","Registered","CS/7545",3,"BIASHARA GITOTHUA Thika TOWNSHIP",55.6,60,74.2,33.3,50,61.1,53.3,57.9,"B"
"56","RUIRU","GITOTHUA","Hardi Sacco Society Ltd","Employer Based SACCO","Registered","CS/10504",3,"LIMURU CENTRAL LIMURU EAST Thika TOWNSHIP",55.6,53.3,63.6,33.3,50,38.9,66.7,51.4,"B"
"57","RUIRU","GITOTHUA","Membley neighborhood Sacco Society LTD","Community Based SACCO","Registered","CS/21111",2,"BIASHARA GITOTHUA",77.8,26.7,22.7,33.3,33.3,55.6,66.7,39.9,"C"
"58","RUIRU","GITOTHUA","PCEA KAMITI SACCO SOCIETY LTD","Faith Based SACCO","Registered","CS/24136",2,"BIASHARA GITOTHUA",66.7,33.3,27.3,22.2,50,44.4,46.7,38.3,"C"
"59","RUIRU","GITOTHUA","Kingsmil Bakers Sacco Society Ltd","Employer Based SACCO","Registered","CS/20119",2,"BIASHARA GITOTHUA",77.8,33.3,51.5,22.2,0,22.2,6.7,28.5,"C"
"60","RUIRU","GITOTHUA","Otheka Sacco LTD","Transport SACCO","Registered","CS/23531",2,"GITOTHUA BIASHARA",66.7,33.3,30.3,0,0,0,26.7,18,"D"
"61","GATUNDU NORTH","GITUAMBA","CDDC Gituamba Sacco","Community Based SACCO","Registered","CS/27641",2,"CHANIA GITUAMBA",50,26.7,9.1,11.1,0,16.7,0,13.3,"D"
"62","GATUNDU NORTH","GITUAMBA","CDDC Gituamba Sacco","Agri Based SACCO","Proposed",NA,1,"GITUAMBA",38.9,33.3,9.1,22.2,0,0,0,11.7,"D"
"63","THIKA TOWN","HOSPITAL","CDDC Gituamba Sacco","Faith Based SACCO","Registered","Cs6710",2,"HOSPITAL BIASHARA",66.7,26.7,66.7,33.3,50,55.6,53.3,50.6,"B"
"64","THIKA TOWN","HOSPITAL","Githiga United Savings And Credit Co-Operative Society Ltd","Community Based SACCO","Registered","CS/2166",2,"KIGANJO Thika TOWNSHIP",77.8,20,57.6,44.4,50,44.4,60,47.9,"C"
"65","THIKA TOWN","HOSPITAL","Tai Sacco","Employer Based SACCO","Registered","Cs25309",2,"HOSPITAL KIGANJO",66.7,20,63.6,33.3,33.3,38.9,60,43.7,"C"
"66","THIKA TOWN","HOSPITAL","Unicaz Savings And Credit Co-Operative Society Limited","Faith Based SACCO","Registered","Cs8870",1,"HOSPITAL",55.6,13.3,72.7,22.2,50,22.2,53.3,41.4,"C"
"67","THIKA TOWN","HOSPITAL","Nyanathi Sacco","Employer Based SACCO","Registered","1836",1,"HOSPITAL",77.8,20,57.6,22.2,0,61.1,46.7,39.7,"C"
"68","THIKA TOWN","HOSPITAL","Unimax C Sacco","Employer Based SACCO","Registered","Cs2682",1,"HOSPITAL",66.7,13.3,54.5,22.2,33.3,38.9,53.3,38.7,"C"
"69","THIKA TOWN","HOSPITAL","Unicaz Savings And Credit Co-Operative Society Limited","Faith Based SACCO","Registered","Cs19885",1,"HOSPITAL",77.8,26.7,48.5,22.2,33.3,33.3,53.3,38.7,"C"
"70","THIKA TOWN","HOSPITAL","Githiga United Savings And Credit Co-Operative Society Ltd","Employer Based SACCO","Registered","Cs6022",1,"HOSPITAL",55.6,20,48.5,22.2,33.3,44.4,46.7,38.2,"C"
"71","THIKA TOWN","HOSPITAL","CDDC Gituamba Sacco","Employer Based SACCO","Registered","Cs106980",1,"Thika TOWNSHIP",55.6,26.7,31.8,22.2,33.3,27.8,66.7,34,"C"
"72","THIKA TOWN","HOSPITAL","Unimax C Sacco","Employer Based SACCO","Registered","Cs26266",2,"BIASHARA HOSPITAL",55.6,13.3,33.3,22.2,16.7,44.4,53.3,31.8,"C"
"73","THIKA TOWN","HOSPITAL","Tai Sacco","Employer Based SACCO","Registered","Cs/27790",1,"HOSPITAL",44.4,13.3,18.2,22.2,33.3,5.6,46.7,21.8,"D"
"74","GITHUNGURI","IKINU","Ikinu Youth Sacco","Community Based SACCO","Registered","CS/no file",1,"IKINU",66.7,53.3,62.1,44.4,33.3,22.2,53.3,45.7,"C"
"75","JUJA","JUJA","Fundilima Sacco","Employer Based SACCO","Registered","CS/3626",4,"GITHIGA GITARU KIJABE KINOO",66.7,60,72.7,66.7,50,38.9,66.7,59,"B"
"76","JUJA","JUJA","Eversunny Sacco","Employer Based SACCO","Registered","CS/11577",4,"JUJA MANG'U NDARUGU THETA",55.6,53.3,81.8,11.1,50,61.1,60,56.7,"B"
"77","JUJA","JUJA","Pcea Mukuyu Sacco","Faith Based SACCO","Registered","CS/17652",28,"CIANDA GATONG'ORA GITARU GITHIGA GITHOBOKONI GITHUNGURI IKINU GITUAMBA JUJA KABETE KAMBURU KAMENU KARAI KARURI KIKUYU KINALE MUCHATHA MUGUGA MANG'U LIMURU EAST MWIHOKO MWIKI NACHU NGECHA TIGONI NDENDERU NGENDA NGOLIBA NYANDUMA",88.9,60,78.8,33.3,16.7,50,60,54.1,"B"
"78","JUJA","JUJA","Trabuma Trucks Sacco","Transport SACCO","Registered","CS/20423",11,"BIBIRIONI CIANDA BIASHARA GATONG'ORA GITARU GITHUNGURI GITOTHUA HOSPITAL KABETE KARURI KIAMWANGI",66.7,26.7,63.6,22.2,66.7,55.6,53.3,51.1,"B"
"79","JUJA","JUJA","Zionam Sacco","Faith Based SACCO","Registered","CS/20898",1,"JUJA",77.8,33.3,63.6,11.1,16.7,72.2,26.7,44.5,"C"
"80","JUJA","JUJA","Weza Sacco","Employer Based SACCO","Registered","CS/NO.10212",1,"JUJA",55.6,40,63.6,22.2,0,66.7,46.7,44.1,"C"
"81","JUJA","JUJA","Eneza Sacco","Community Based SACCO","Registered","CS/16755",1,"JUJA",77.8,46.7,48.5,11.1,16.7,61.1,60,44.1,"C"
"82","JUJA","JUJA","Mary Hill Saco","Employer Based SACCO","Registered","CS/3952",1,"JUJA",66.7,40,57.6,11.1,0,55.6,6.7,35.7,"C"
"83","JUJA","JUJA","Eacass Sacco","Employer Based SACCO","Registered","CS/9078",1,"JUJA",55.6,13.3,69.7,11.1,33.3,27.8,6.7,33.4,"C"
"84","JUJA","JUJA","Asmac Sacco","Employer Based SACCO","Registered","CS/26205",1,"JUJA",55.6,33.3,66.7,11.1,0,27.8,26.7,32.7,"C"
"85","JUJA","JUJA","Unitrust Sacco","Other","Registered","CS/27022",1,"JUJA",22.2,33.3,63.6,11.1,0,11.1,66.7,31,"C"
"86","JUJA","JUJA","Mangu Staff Sacco","Employer Based SACCO","Proposed",NA,1,"JUJA",44.4,33.3,60.6,22.2,16.7,22.2,0,30.8,"C"
"87","JUJA","JUJA","Jummota Sacco","Transport SACCO","Registered","CS/22368",1,"JUJA",77.8,33.3,30.3,22.2,0,50,6.7,29.2,"C"
"88","JUJA","JUJA","Jukagi Sacco","Transport SACCO","Registered","CS/16592",1,"JUJA",77.8,13.3,33.3,11.1,0,22.2,40,23.3,"D"
"89","JUJA","JUJA","Toll Pamoja","Community Based SACCO","Registered","CS/13138",1,"JUJA",55.6,33.3,27.3,33.3,0,11.1,6.7,20.9,"D"
"90","KABETE","KABETE","Kabete Diary Sacco Ltd","Agri Based SACCO","Registered","CS/11907",4,"KABETE MUGUGA NYADHUNA GITARU",66.7,60,56.1,33.3,50,38.9,66.7,51.2,"B"
"91","KABETE","KABETE","Walokana Multipurpose Cooperative Society","Other","Registered","CS/8540",1,"KABETE",33.3,26.7,57.6,22.2,33.3,50,73.3,43.9,"C"
"92","KABETE","KABETE","Westmart savings and credit cooperative society","Community Based SACCO","Registered","CS/26726",8,"KABETE GITARU KINOO KIKUYU MUGUGA NYADHUNA SIGONA UTHIRU",55.6,40,48.5,11.1,50,22.2,66.7,39.9,"C"
"93","KABETE","KABETE","Mhubiri Savings and Credit Cooperative Society","Faith Based SACCO","Registered","CS/4490",25,"GITARU KABETE GITHIGA GATUANYAGA CHANIA BIBIRIONI BIASHARA CIANDA KINOO KIKUYU KIJABE LARI/KIRENGA LIMURU CENTRAL LIMURU EAST MANG'U MUCHATHA MUGUGA MURERA MWIKI NDARUGU NDENDERU Thika TOWNSHIP UTHIRU NYADHUNA NYANDUMA",66.7,33.3,63.6,11.1,50,16.7,46.7,39.8,"C"
"94","KABETE","KABETE","Universal Unity Savings and cooperative society ltd","Other","Registered","CS/21323",1,"MUGUGA",77.8,46.7,51.5,22.2,0,55.6,13.3,37.8,"C"
"95","KABETE","KABETE","Hosana 5kgg Boda","Transport SACCO","Registered","CS/23957",3,"KABETE GITARU KIHARA",77.8,33.3,30.3,11.1,0,50,0,27.2,"C"
"96","KABETE","KABETE","Smart Lwark Sacco","Transport SACCO","Registered","CS/24832",1,"KABETE",66.7,40,27.3,11.1,0,0,6.7,17.6,"D"
"97","KABETE","KABETE","Makaru Huduma savings and credit cooperative society","Other","Registered","CS/19036",1,"KABETE",77.8,33.3,21.2,0,0,0,0,13.8,"D"
"98","KABETE","KABETE","United Success B.O Sacco","Transport SACCO","Registered","CS/25432",2,"GITARU KABETE",66.7,33.3,18.2,0,0,0,0,12.5,"D"
"99","RUIRU","KAHAWA SUKARI","Brookside Sacco Society Limited","Employer Based SACCO","Registered","CS/8513",8,"BIASHARA Kiambu TOWNSHIP KALIMONI KAHAWA WENDANI KAHAWA SUKARI JUJA GATONG'ORA GITOTHUA",55.6,53.3,90.9,33.3,50,50,73.3,60.5,"B"
"100","RUIRU","KAHAWA SUKARI","PCEA Kahawa Sukari Sacco","Faith Based SACCO","Registered","Cs/18961",3,"KAHAWA SUKARI KAHAWA WENDANI GATONG'ORA",77.8,46.7,63.6,44.4,50,72.2,73.3,60.1,"B"
"101","RUIRU","KAHAWA SUKARI","Pehani Sacco Society Limited","Employer Based SACCO","Registered","CS/7720",6,"KAHAWA SUKARI KAHAWA WENDANI BIASHARA JUJA KALIMONI Kiambu TOWNSHIP",55.6,46.7,65.2,55.6,50,72.2,66.7,60,"B"
"102","RUIRU","KAHAWA SUKARI","Enlight Sacco Ltd","Agri Based SACCO","Registered","CS/23302",2,"KAHAWA SUKARI KAHAWA WENDANI",83.3,26.7,78.8,44.4,50,72.2,46.7,58.2,"B"
"103","RUIRU","KAHAWA SUKARI","Gicheharongai Sacco Society Limited","Employer Based SACCO","Registered","CS/9320",4,"BIASHARA GATONG'ORA KAHAWA SUKARI KAHAWA WENDANI",55.6,40,57.6,22.2,50,55.6,60,49.3,"C"
"104","RUIRU","KAHAWA SUKARI","KSMT sacco","Transport SACCO","Registered","CS/12979",7,"GATONG'ORA BIASHARA KAHAWA SUKARI KAHAWA WENDANI CHANIA KIUU GITHUNGURI",55.6,13.3,57.6,44.4,33.3,44.4,53.3,42.6,"C"
"105","RUIRU","KAHAWA WENDANI","Abundant Life saving","Community Based SACCO","Registered","CS/19571",3,"KAHAWA WENDANI KIUU MWIHOKO",77.8,26.7,72.7,11.1,50,33.3,40,44.1,"C"
"106","RUIRU","KAHAWA WENDANI","Mt. Angel Sacco Society","Community Based SACCO","Registered","CS/9524",1,"KAHAWA WENDANI",55.6,46.7,66.7,0,0,50,60,41.1,"C"
"107","JUJA","KALIMONI","Greystone Sacco","Community Based SACCO","Registered","Cs/12330",1,"KALIMONI",61.1,46.7,57.6,33.3,50,61.1,53.3,52.4,"B"
"108","JUJA","KALIMONI","Highpoint Border Taxi","Transport SACCO","Registered","Cs/21521",1,"KALIMONI",88.9,33.3,72.7,22.2,33.3,44.4,6.7,43.4,"C"
"109","JUJA","KALIMONI","Pelargonium Sacco","Employer Based SACCO","Registered","cs/9263",1,"KALIMONI",66.7,60,66.7,22.2,0,33.3,46.7,41.7,"C"
"110","JUJA","KALIMONI","Thindaju Sacco","Employer Based SACCO","Registered","Cs/14811",1,"KALIMONI",50,46.7,42.4,11.1,66.7,27.8,53.3,41.5,"C"
"111","JUJA","KALIMONI","Pcea Juja Kalimoni","Community Based SACCO","Registered","cs/16639",1,"KALIMONI",77.8,40,60.6,22.2,0,55.6,33.3,40.9,"C"
"112","JUJA","KALIMONI","Juja Athi Sacco","Transport SACCO","Registered","Cs/13166",1,"KALIMONI",55.6,33.3,48.5,0,33.3,33.3,53.3,35.9,"C"
"113","THIKA TOWN","KAMENU","EAGLE'S EYE REGULATED NON WDT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Faith Based SACCO","Registered","CS/8262",1,"KAMENU",55.6,60,78.8,44.4,33.3,66.7,66.7,60.2,"B"
"114","THIKA TOWN","KAMENU","P.C.E.A MAKONGENI PARISH SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Faith Based SACCO","Registered","CS/25661",1,"KAMENU",66.7,46.7,84.8,22.2,16.7,33.3,60,47.7,"C"
"115","THIKA TOWN","KAMENU","COLORFUL DREAMS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Other","Registered","CS/27695",2,"KIAMWANGI KAMENU",66.7,46.7,48.5,44.4,50,22.2,73.3,46.1,"C"
"116","THIKA TOWN","KAMENU","NGWATANIRO TRADERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED","Community Based SACCO","Registered","CS/14089",2,"KAMENU Thika TOWNSHIP",55.6,40,48.5,44.4,50,44.4,33.3,45,"C"
